alpha,amp,Qmin_over_Qmean,R,OSI,rho,field_eps,err_TAWSS,err_R,err_OSI,err_RRT,smooth_err_RRT
8,0.6,0.85601,0.969884,0.0150578,0.01,0.0797892,0.00570907,0.0028038,0.0902976,0.00628926,2.22045e-16
8,0.6,0.85601,0.969884,0.0150578,0.02,0.157848,0.012586,0.00410872,0.132323,0.0122637,2.22045e-16
8,0.6,0.85601,0.969884,0.0150578,0.05,0.366771,0.026754,0.00633735,0.204097,0.0274909,2.22045e-16
8,0.7,0.832011,0.949765,0.0251177,0.01,0.088655,0.00652241,0.00327295,0.0618794,0.00732906,0
8,0.7,0.832011,0.949765,0.0251177,0.02,0.175387,0.015621,0.00731391,0.138279,0.0142773,0
8,0.7,0.832011,0.949765,0.0251177,0.05,0.407525,0.0308987,0.0118315,0.223689,0.0319213,0
8,0.8,0.808013,0.930463,0.0347687,0.01,0.0962873,0.0073027,0.00374861,0.0501593,0.00836659,0
8,0.8,0.808013,0.930463,0.0347687,0.02,0.190486,0.0171494,0.00885012,0.118421,0.0162834,0
8,0.8,0.808013,0.930463,0.0347687,0.05,0.442609,0.0344847,0.0159672,0.213654,0.0363199,0
8,0.9,0.784015,0.91193,0.0440352,0.01,0.102826,0.00805189,0.00423212,0.0438217,0.00940192,4.44089e-16
8,0.9,0.784015,0.91193,0.0440352,0.02,0.203421,0.0178047,0.00942589,0.0976008,0.0182822,4.44089e-16
8,0.9,0.784015,0.91193,0.0440352,0.05,0.472664,0.0373999,0.0192342,0.199161,0.0406907,4.44089e-16
8,1,0.760016,0.89412,0.0529398,0.01,0.108414,0.00877183,0.00472451,0.039897,0.0104351,2.22045e-16
8,1,0.760016,0.89412,0.0529398,0.02,0.214477,0.0183654,0.010361,0.087495,0.0202743,2.22045e-16
8,1,0.760016,0.89412,0.0529398,0.05,0.498353,0.0400743,0.0223342,0.188605,0.0450378,2.22045e-16
8,1.1,0.736018,0.876993,0.0615033,0.01,0.11319,0.00946419,0.00522658,0.0372636,0.0114662,4.44089e-16
8,1.1,0.736018,0.876993,0.0615033,0.02,0.223926,0.0190078,0.0117721,0.083931,0.0222599,4.44089e-16
8,1.1,0.736018,0.876993,0.0615033,0.05,0.520308,0.0426284,0.0255836,0.182402,0.0493652,4.44089e-16
8,1.2,0.71202,0.86051,0.0697449,0.01,0.117278,0.0101305,0.00573889,0.0354031,0.0124952,0
8,1.2,0.71202,0.86051,0.0697449,0.02,0.232012,0.019789,0.0135836,0.0837968,0.0242394,0
8,1.2,0.71202,0.86051,0.0697449,0.05,0.539097,0.0451249,0.0292147,0.180225,0.0536768,0
8,1.3,0.688021,0.842115,0.0789426,0.01,0.120784,0.0100527,0.00562933,0.0300253,0.0135223,0
8,1.3,0.688021,0.842115,0.0789426,0.02,0.238949,0.020114,0.0152091,0.0811213,0.0262133,0
8,1.3,0.688021,0.842115,0.0789426,0.05,0.555216,0.0472052,0.0326779,0.174294,0.0579765,0
8,1.4,0.664023,0.823114,0.0884432,0.01,0.123802,0.010792,0.00687262,0.0319807,0.0145474,0
8,1.4,0.664023,0.823114,0.0884432,0.02,0.24492,0.0206045,0.0175086,0.0814738,0.0281819,0
8,1.4,0.664023,0.823114,0.0884432,0.05,0.569089,0.0491351,0.0362767,0.168808,0.0622683,0
8,1.5,0.640025,0.801214,0.099393,0.01,0.126409,0.0124838,0.00866993,0.0349444,0.0155706,0
8,1.5,0.640025,0.801214,0.099393,0.02,0.250077,0.0213052,0.0201145,0.0810721,0.0301456,0
8,1.5,0.640025,0.801214,0.099393,0.05,0.581071,0.0504668,0.0403239,0.162527,0.0665559,0
8,1.6,0.616026,0.779098,0.110451,0.01,0.12867,0.0150258,0.0116891,0.0412261,0.0165919,5.55112e-16
8,1.6,0.616026,0.779098,0.110451,0.02,0.254549,0.0217036,0.0229331,0.0808826,0.0321047,5.55112e-16
8,1.6,0.616026,0.779098,0.110451,0.05,0.591462,0.0514742,0.044134,0.155656,0.0708434,5.55112e-16
8,1.7,0.592028,0.757572,0.121214,0.01,0.130638,0.0173698,0.0143796,0.0449352,0.0176115,0
8,1.7,0.592028,0.757572,0.121214,0.02,0.258443,0.0227808,0.0257884,0.080587,0.0340597,0
8,1.7,0.592028,0.757572,0.121214,0.05,0.60051,0.0526362,0.0481203,0.150373,0.0751346,0
8,1.8,0.56803,0.737203,0.131398,0.01,0.132359,0.0185457,0.0159895,0.0448542,0.0186294,2.22045e-16
8,1.8,0.56803,0.737203,0.131398,0.02,0.261847,0.0235888,0.0280492,0.0786843,0.0360109,2.22045e-16
8,1.8,0.56803,0.737203,0.131398,0.05,0.608421,0.0538294,0.0523307,0.146799,0.0794334,2.22045e-16
8,1.9,0.544031,0.717901,0.141049,0.01,0.13387,0.0192116,0.0170862,0.043482,0.0196456,3.33067e-16
8,1.9,0.544031,0.717901,0.141049,0.02,0.264836,0.0240258,0.029935,0.0761804,0.0379586,3.33067e-16
8,1.9,0.544031,0.717901,0.141049,0.05,0.615365,0.0552567,0.0565027,0.143791,0.0837439,3.33067e-16
8,2,0.520033,0.699585,0.150208,0.01,0.135201,0.0194745,0.0178329,0.041528,0.0206601,3.33067e-16
8,2,0.520033,0.699585,0.150208,0.02,0.26747,0.0246198,0.0316702,0.0737511,0.0399033,3.33067e-16
8,2,0.520033,0.699585,0.150208,0.05,0.621487,0.0566475,0.060616,0.141158,0.08807,3.33067e-16
8,2.1,0.496034,0.681896,0.159052,0.01,0.13638,0.019758,0.0186352,0.039947,0.0216731,0
8,2.1,0.496034,0.681896,0.159052,0.02,0.269802,0.0253783,0.0334002,0.0715976,0.0418453,0
8,2.1,0.496034,0.681896,0.159052,0.05,0.626903,0.0578621,0.064694,0.13868,0.0924158,0
8,2.2,0.472036,0.664284,0.167858,0.01,0.137426,0.0206872,0.0198602,0.0392975,0.0226845,0
8,2.2,0.472036,0.664284,0.167858,0.02,0.271872,0.0262445,0.0355485,0.0703401,0.043785,0
8,2.2,0.472036,0.664284,0.167858,0.05,0.631715,0.0588852,0.0688313,0.136197,0.0967855,0
8,2.3,0.448038,0.647559,0.17622,0.01,0.138359,0.0213995,0.0207767,0.0381741,0.0236945,0
8,2.3,0.448038,0.647559,0.17622,0.02,0.273718,0.0273925,0.0377661,0.0693897,0.0457227,0
8,2.3,0.448038,0.647559,0.17622,0.05,0.636004,0.0597737,0.0729418,0.13402,0.101183,0
8,2.4,0.424039,0.63104,0.18448,0.01,0.139194,0.0220279,0.0218099,0.0373019,0.024703,0
8,2.4,0.424039,0.63104,0.18448,0.02,0.27537,0.0285165,0.0397909,0.0680553,0.0476588,0
8,2.4,0.424039,0.63104,0.18448,0.05,0.639841,0.0605555,0.0771847,0.132011,0.105614,0
8,2.5,0.400041,0.614398,0.192801,0.01,0.139943,0.022857,0.0231141,0.0368289,0.0257102,0
8,2.5,0.400041,0.614398,0.192801,0.02,0.276852,0.0293133,0.0418322,0.0666534,0.0495938,0
8,2.5,0.400041,0.614398,0.192801,0.05,0.643286,0.0613091,0.0813416,0.129606,0.110081,0
